Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
7/21/2019 18:22:34,Dog,Jimmy,JimmyJamSunshineMan,5,Shih Tzu
7/21/2019 18:22:38,Dog,Rocky,Rocko,9,Rottweiler
7/21/2019 18:22:47,Dog,Sheldon Michael ,Shel,7,Westin/min pin
7/21/2019 18:22:47,Dog,Jackson,Pupper,3,Australian blue cattle dog
7/21/2019 18:22:53,Dog,Maxwell Amos,Max,10,Catahoula Leopard
7/21/2019 18:23:01,Dog,Margaret Lewis,Maggie,11,Mutt
7/21/2019 18:23:02,Dog,Ginger,Geeper Creeper,10,Golden mix 
7/21/2019 18:23:03,Dog,Gator,Tate ,8,Rottweiler/Irish setter
7/21/2019 18:23:05,Dog,Badger,Badger,12,Dachshund 
7/21/2019 18:23:05,Dog,Beauregard,Beau,22 yesrs,Golden Retriever
7/21/2019 18:23:05,Dog,Buffy,Buffy and/or Buffalo,8,Beagle/jack russell/cow ;)
7/21/2019 18:23:05,Dog,duque,duque,1,Mixed Breed
7/21/2019 18:23:06,Dog,Mika,Mika,5,Husky
7/21/2019 18:23:21,Dog,Scarlett,Little Girl,8,Border Collie
7/21/2019 18:23:21,Dog,Macy,Macy,11,Golden retriever mix
7/21/2019 18:23:22,Dog,Gromit Walker,Gromit,8,Golden Retriever
7/21/2019 18:23:25,Dog,Gracie Lou Freebush ,Gracie,9,Black Lab/Angel 
7/21/2019 18:23:25,Dog,River,River,14 weeks,Husky
7/21/2019 18:23:40,Dog,Olaf,Olaf,4,Chihuahua 
7/21/2019 18:23:41,Dog,Buttons,Buttons (sometimes with a french accent),2,Beagle
7/21/2019 18:23:43,Dog,Stevie James,Steve,9,Maltipoo
7/21/2019 18:23:45,Dog,Mila,Crusty,14,Rottweiler Mix
7/21/2019 18:23:45,Dog,Murphy,Murph ,5 yesrs,Golden Retriever
7/21/2019 18:24:04,Dog,Oscar the Amazing VelcroDog,Oscar,12,Terrier mix
7/21/2019 18:24:05,Dog,Poppy,Poppy,4,Shih Tzu
7/21/2019 18:24:36,Dog,Ellie Mae,Ellie,13,Cocker Spaniel
7/21/2019 18:24:37,Dog,Snowy,Snow,11,Shih Tzu
7/21/2019 18:24:43,Dog,Bruno,Bruno,4,Border Collie
7/21/2019 18:24:54,Dog,Mona,Mona,Died at 12 in 2002,Bluetick beagle
7/21/2019 18:25:16,Dog,Yaz,Yazzy,11,Golden retriever/border collie
7/21/2019 18:25:24,Dog,Princess Leia Organa,Princess,Dead,Mutt
7/21/2019 18:25:28,Dog,Oakley ,Oak,3,Shih Tzu
,,, oakey-doke,,
7/21/2019 18:25:37,Dog,Tinkerbell ,Tinky,4,Chihuahua 
7/21/2019 18:25:48,Dog,Beckett,Beckett or Becky,9,Golden Retriever
7/21/2019 18:26:17,Dog,Logan,Logan,10,Black Lab
7/21/2019 18:26:19,Dog,Daisy Grace,Daisy,8,Mixed Breed
7/21/2019 18:27:21,Dog,Lila Betterhalf ,Lila,13,Greyhound
7/21/2019 18:27:44,Dog,Tula Jean,Tula,1,
7/21/2019 18:27:55,Dog,Odin,Odin,1,Mixed Breed
7/21/2019 18:27:58,Dog,Annie Piker,Annie,8,Greyhound
7/21/2019 18:28:00,Dog,Rusty,Rusty,4,Golden Retriever
7/21/2019 18:28:19,Dog,Stella Luna,Stella,4,Lab mix
7/21/2019 18:28:26,Dog,Pancho Villa,Pacho,12,Pug
7/21/2019 18:28:34,Dog,Waldo,Waldo,9,Cockapoo
7/21/2019 18:28:48,Dog,Yadier,Yadi,4,Golden Retriever
7/21/2019 18:29:10,Dog,Ruby Gem,Ruby,4,Terrier mix
7/21/2019 18:29:11,Dog,BuddyGus,Buddy or Boo,20 months,Golden Retriever
7/21/2019 18:29:13,Dog,Homer ,Homie,5,Springer Spaniel 
7/21/2019 18:29:15,Dog,Pippie,Pippie or Pippo,2,Pit bull/ Bassett hound mix
7/21/2019 18:29:19,Dog,Parker,,6,Beagle
7/21/2019 18:29:20,Dog,Chipper Doodle,Chip,12,Chocolate lab
7/21/2019 18:29:21,Dog,Jack,Jack,7,Labrador Retriever
7/21/2019 18:29:26,Dog,Xena,Xena,14,Miniature Pinscher
,, Warrior Pinscher ,,,
7/21/2019 18:29:35,Dog,Gabby,Gabby,2,Golden Retriever
7/21/2019 18:29:44,Dog,Rosebud,Rosie,10,Beagle
7/21/2019 18:29:57,Dog,Cooper,Coopee ,10,YorkiePoo
7/21/2019 18:30:01,Dog,Shakota,Shakota,12,Siberian Husky
7/21/2019 18:30:09,Dog,Wilbur,Wilby,7,French/English Bulldog 
7/21/2019 18:30:11,Dog,Finn T. Dog,Finn,5 months,Weimaraner 
7/21/2019 18:30:31,Dog,Baylee,Baylee Boo,2,
,,, Taps,,
7/21/2019 18:30:33,Dog,Sprocket,Bark,15 years (would be 17 years today,Mutt
,,, sprock, now deceased, some golden retriever
,,, spark, rescue), some jack russell
,,,,, some whippet)
7/21/2019 18:31:55,Dog,Sophie,Sophie ,13,Maltese mix
7/21/2019 18:32:01,Dog,Sasha,Chunk ,1,Lab/shepherd 
7/21/2019 18:32:57,Dog,Kookie (pronounced cookie) Pants,Noodle,15,Jack Russell Terrier
7/21/2019 18:33:31,Dog,Miss Maisy Cakes,Maisy,1,Mutt
7/21/2019 18:33:38,Dog,Han Solo,Solo,3,English Cocker Spaniel
7/21/2019 18:33:58,Dog,Lillith Anne,Lily,6,Alaskan Husky
7/21/2019 18:34:03,Dog,Michelangelo,Mikey,11,English Cocker Spaniel
7/21/2019 18:34:09,Dog,Freddie Beagle ,Fred or Freddie ,11,Beagle
7/21/2019 18:34:18,Dog,Pieper,Pooper,4,
7/21/2019 18:34:40,Dog,Jacob,Jake,6,Alaskan Husky
7/21/2019 18:35:02,Dog,Titus Augustus,Tidy,9,American Foxhound
7/21/2019 18:35:06,Dog,,Cirrus,2,Poodle
7/21/2019 18:35:15,Dog,Shelby,Shelby,14,Labrador Retriever
7/21/2019 18:35:30,Dog,,Nimbus,0.5,Poodle
7/21/2019 18:35:31,Dog,Finn,Finn,1,Cavalier King Charles Spaniel 
7/21/2019 18:35:37,Dog,Tessie Joan (of Arc),Tessie ,7,American Foxhound
7/21/2019 18:35:38,Dog,Ginger,Ginger,12,Golden Retriever
7/21/2019 18:35:47,Dog,Sadie,Sadie,6,Golden Retriever
7/21/2019 18:35:54,Dog,Flicka,Flicky,12,Labrador Retriever
7/21/2019 18:35:57,Dog,Koda Kingslayer,Koda,2,Golden Retriever
7/21/2019 18:35:58,Dog,Flicka,Flicky,12,Labrador Retriever
7/21/2019 18:36:13,Dog,Maggie,Ms America ,7,Golden Retriever
7/21/2019 18:36:16,Dog,Henry (after Dorian Grey),Henry,1,Brittany
7/21/2019 18:36:26,Dog,Megan,Puppy,10,Mutt
7/21/2019 18:36:49,Dog,Hopper T. Dog,Hops,6,Golden Retriever
7/21/2019 18:36:56,Dog,Snickers,Snickers,10,beagle mix
7/21/2019 18:37:07,Dog,Venkman,Venk,5,Golden Retriever
7/21/2019 18:37:21,Dog,Murphy,Murph,0,Cocker Spaniel
,,,,5,
7/21/2019 18:37:25,Dog,Maggie,Schmieg,12,Golden Retriever
7/21/2019 18:37:38,Dog,Jasmine,Jasmine,13,Golden Retriever
7/21/2019 18:37:53,Dog,Hurley Pearly Sky-Sky,Hurley,7,Shih Tzu
7/21/2019 18:37:54,Dog,Queso,Queso,14,Golden Retriever
7/21/2019 18:38:01,Dog,Breezy Anne,Breezy,5,German Shepherd
7/21/2019 18:38:09,Dog,Riley,Riley,7,Golden Retriever
7/21/2019 18:38:24,Dog,Homer J,Homer,10,Basenji Mix
7/21/2019 18:38:29,Dog,Tucker,Tucker ,7,Golden Retriever
7/21/2019 18:39:10,Dog,Abby,Abby,3ish,Pit bull/Lab/Beagle/Chihuahua Mix/General mutt
7/21/2019 18:39:16,Dog,Cooper Triple Bogey,Coop,9 weeks,Golden Retriever
7/21/2019 18:39:17,Dog,Shelby,Shelby,1,Blue Tick Coonhound/Mountain Cur
7/21/2019 18:39:28,Dog,Oakley Dalton,Oaks,6,
7/21/2019 18:39:30,Dog,Lucy Lou ,Goose,9,Golden Retriever
7/21/2019 18:39:35,Dog,Niles Crane,Niles,4,Border Collie
7/21/2019 18:39:39,Dog,Little Lucky One,Lucky,13,Chihuahua 
7/21/2019 18:39:40,Dog,Benjamin Sebastian,Benjamin,7,Collie basset hound mix.
7/21/2019 18:39:46,Dog,Siris Maximus,Sirius,5,Alaskan Husky
7/21/2019 18:40:00,Dog,Blaze,Blaze,5,Labrador Retriever
7/21/2019 18:40:07,Dog,Brody ,Brody,11,Yorkshire terrier mix
7/21/2019 18:40:26,Dog,Director of Chaos,D.O.C.,4,Boxer
7/21/2019 18:40:56,Dog,Cody,Codes,11,Golden Retriever
7/21/2019 18:41:13,Dog,Emma,Rotta,6,Mittelspitz
7/21/2019 18:41:16,Dog,Isabella Grace,Bella,7,Maltese
7/21/2019 18:41:19,Dog,Cookie Boogie,Boogie,3,
7/21/2019 18:41:23,Dog,Salina,Salina,2,Hound mix
7/21/2019 18:41:34,Dog,Theodore James,Theo,5,Maltese
7/21/2019 18:41:41,Dog,Ofelia,Ofie Lofie,15,Norwich Terrier
7/21/2019 18:41:44,Dog,Hermie,Hermie,3-4 years,Chocolate Lab/Pit Mix
7/21/2019 18:42:14,Dog,Jackson Baines Hardin,Jackson,14,Shepherd mix
,,, Jack,,
7/21/2019 18:42:24,Dog,Rudy,Rudy,12,Black Lab
7/21/2019 18:42:41,Dog,Chuchi,Baby Chu,9,Toy Poodle
7/21/2019 18:42:50,Dog,Belle Silver,Bobo,3,Brittany
7/21/2019 18:43:00,Dog,Phoebe Buffay,Phoeb,4-5 years,Staffordshire Terrier 
7/21/2019 18:43:03,Dog,Precious Presley ,Presley ,1,Lab mix
7/21/2019 18:43:20,Dog,Sarah Jessica Parker,Parker,8,Beagle
7/21/2019 18:43:49,Dog,Princess Leah ,Leah,8,Miniature schnauzer 
7/21/2019 18:44:10,Dog,Mr Duke of Carol Stream,Boo-Boo,10,Labrador Retriever
7/21/2019 18:44:28,Dog,Bruno Mars ,Bruno ,4,Shih Tzu
7/21/2019 18:44:36,Dog,Reggie,Reg,8,Border Collie
7/21/2019 18:44:48,Dog,Twixie,Gooben,2,Unknown
7/21/2019 18:44:51,Dog,Kody,Kode,10,Golden Retriever
7/21/2019 18:44:57,Dog,Maverick Clinton ,Maverick ,10,Labrador Retriever
7/21/2019 18:45:16,Dog,Sven,Bean,5,German Shepherd
7/21/2019 18:45:21,Dog,Lola,Lola,11,Poodle mix 
7/21/2019 18:45:31,Dog,Sophie,Sophie,2 years,Rottweiler
7/21/2019 18:45:40,Dog,Lily Potter,Lil,2,German Shepherd
7/21/2019 18:45:52,Dog,Dougie McFly,Dougie,11,Cairn Terrier
7/21/2019 18:45:57,Dog,RileyRoo,Riley,2,Mutt
7/21/2019 18:46:04,Dog,Dobby,Boober ,4,Pembroke Welsh Corgi
7/21/2019 18:47:07,Dog,Lando,Lando,5,Bernese Mountain Dog
7/21/2019 18:47:17,Dog,Tucker Paul,Tuck Tuck,6,Pitbull
7/21/2019 18:47:56,Dog,Schnitzel Von Krumm,Ninnel,11,Miniature Dachshund
7/21/2019 18:48:10,Dog,Wrigley,Wriglry pigley,13,Beagle
7/21/2019 18:48:39,Dog,Wally,Wal,4 months,Golden Retriever
7/21/2019 18:48:56,Dog,Snickers,Doodle ,11,Beagle
7/21/2019 18:49:14,Dog,Charlie,Charlie,9,Cockapoo
7/21/2019 18:49:16,Dog,Pepper,Pep,9.5 months,Cocker Spaniel
7/21/2019 18:49:16,Dog,Brownie,Brownie ,13,Beagle
7/21/2019 18:49:35,Dog,Echo,Beck,3,Corgi mix 
7/21/2019 18:49:52,Dog,Banky,Banky,10,Basset Hound
7/21/2019 18:49:56,Dog,Koda,Koda,6,Chihuahua 
7/21/2019 18:50:10,Dog,Clifford,Cliff,6,Lab mix
7/21/2019 18:50:12,Dog,Coco,Coco Bear,7,Morkie (Maltese/Yorkie)
7/21/2019 18:50:16,Dog,Charlie,Charlie,8,Pitbull
7/21/2019 18:50:21,Dog,Mojo,Moj,5,Chiweenie
7/21/2019 18:50:40,Dog,Hank,Hank,2,Boxer mix 
7/21/2019 18:51:12,Dog,Sebastian,Fritz,15,Italian greyhound and jack russell 
7/21/2019 18:52:13,Dog,Hank,Hanky,2,Yellow lab
7/21/2019 18:52:28,Dog,Ella,Ells Bells,14.5,Cocker Spaniel
7/21/2019 18:52:30,Dog,Frappuccino,Frappie,7,Labradoodle
7/21/2019 18:52:41,Dog,Gracie,Grace,12,Shih Tzu
7/21/2019 18:52:57,Dog,Phoebe,Phoebe,2,Goldendoodle
7/21/2019 18:53:04,Dog,Uma Strawn McGuire,Uma,4,Golden mix 
7/21/2019 18:53:06,Dog,Buster,Boop squared,13ish,Terrierist
7/21/2019 18:53:22,Dog,Eva Marie,Eva,3,Chihuahua 
7/21/2019 18:53:30,Dog,Mia Hamm,Mia,11,Golden Retriever
7/21/2019 18:53:38,Dog,alia atreides,allie,5,Mutt
7/21/2019 18:54:32,Dog,lexie,lex,10 months,Golden Retriever
7/21/2019 18:54:44,Dog,Bernard,Bernard ,5,Boxer
7/21/2019 18:55:10,Dog,Myles - his roman name is Squirtacus Mylonius,Myles,10,Cockapoo
7/21/2019 18:55:29,Dog,Millie,Millie,9.5,Shepherd mix
7/21/2019 18:55:43,Dog,Bodhi,Bo,6,Golden Retriever
7/21/2019 18:55:55,Dog,Mooch,Mooch,9,Terrier mix
7/21/2019 18:55:56,Dog,Piper,Pipes,4,Woodle (wheaton terrier/poodle)
7/21/2019 18:56:07,Dog,Charles,Charlie,10,Corgi
7/21/2019 18:56:19,Dog,Willow,Willow,3,Sheepadoodle
7/21/2019 18:56:29,Dog,Glamis Schedule K1,Kona,5,Golden Retriever
7/21/2019 18:56:50,Dog,Bandit Raye,Bandi,12,Farm dog
7/21/2019 18:57:28,Dog,Anderson,Andy,12,Lab mix
7/21/2019 18:58:08,Dog,Mars Harambe,Pickle,3,Catahoula mix
7/21/2019 18:58:15,Dog,Claudio Atlas Wolfric,Claudio ,8,Dachshund 
7/21/2019 18:58:43,Dog,Lawson H Dog,Hogan,16,Briard
7/21/2019 19:00:08,Dog,Tucker,Tucker,1,Bully mix
,,, dude,,
,,, bud ,,
7/21/2019 19:00:49,Dog,Ames,Ames,5,Husky
7/21/2019 19:01:03,Dog,Franc,Franc,4 months,Mastiff cross
7/21/2019 19:02:05,Dog,Oliver Jackson ,Oliver/Baby/Little Man,5 1/2 years,Morkie
7/21/2019 19:02:07,Dog,Dolly Doodle Dogger,Dolly,6,Labradoodle
